constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
PERSONAL_SIGMOID_DEFAULTS,"{'start_share': 0.0, 'saturation': 0.95, 'rate': 7.0, 'inflection': 0.65}",start/saturation fractions; inflection in ε; rate dimensionless,placeholder,,start + (saturation − start) × logistic(rate × (ε − inflection)).,Registration sigmoids,,,the share of personal-domain hours delivered through collective systems against an automation index. `reference/atus_time_use.py` measures the numerator's high-ε end; the low-ε end needs a low-capital time-use survey.,,,,,,"start is 0.0 by construction — at subsistence, personal needs are met privately and the collective ledger recognises none of it. The saturation below 1.0 is a claim that some personal EOH stays private at any automation level (grief, intimacy), which is a normative reading wearing a placeholder's tag; it is not something a dataset settles."
KNOWLEDGE_SIGMOID_DEFAULTS,"{'base': 0.0, 'saturation': 0.8, 'rate': 5.0, 'inflection': 0.7}",base/saturation fractions; inflection in ε; rate dimensionless,placeholder,,base + (saturation − base) × logistic(rate × (ε − inflection)).,Registration sigmoids,,,"the share of knowledge-work hours subject to formal verification against an automation index — harder than the other four, because the denominator (what counts as knowledge work) is itself contested.",,,,,,"saturation 0.80 asserts that tacit skill, judgement and creative insight are never fully admissible however automated verification becomes. The late inflection asserts that peer review, credentialing and automated audit need mature automation to operate at scale. Both are arguments, not measurements."
LABOR_CATEGORY_DEFAULTS,<dict: 7 keys>,"shares of total labour, dimensionless; exponent dimensionless",placeholder,,production declines linearly in ε; care grows as base + growth × ε^exponent and is capped; stewardship takes the residual. All three are floored.,Registration sigmoids,,,an occupational time series split into these three categories against an automation index. The O*NET/BLS registry already carries the occupational side; the split into production/care/stewardship is a mapping this repo has not made.,,,,,,"NOT a sigmoid — the composite weights that `total_registration_share` uses to combine the categories. Migrated with them because they share a consumer and were equally invisible. The care exponent 1.5 is the only shape parameter here: concave-up, so care's share accelerates rather than rising linearly, which is the claim that complexity drives care demand faster than automation displaces production."
PERSONAL_EOH_SURVIVAL,600.0,hours/year per working-age-equivalent,bounded,,"S_a — the autarky-referenced SURVIVAL standard. Hard-bounded above by (L−R)/w = 627: a survival standard exceeding labour supply is extinction. Set independently and CHECKED rather than pinned to the bound, so scenarios/feasibility.py can still fail it — a constant that cannot fail its own test says nothing.",EOH generation — personal domain,"hard upper bound (L−R)/w = 627 h/yr per working-age-equivalent, from this file's own H_REF × workforce fraction. 600 sits just inside it.","LOW. Set below the supply bound rather than at it, so it understates the survival obligation if anything, which keeps ε_suff optimistic. Deliberate: the bound is CHECKED by scenarios/feasibility.py rather than pinned, because a constant that cannot fail its own test says nothing.","minimum-subsistence time-allocation studies covering only the components that kill you if unmet — food, water, shelter, warmth.",,,,,,
PERSONAL_EOH_SUFFICIENCY,1500.0,hours/year per working-age-equivalent,bounded,,"F_a — the autarky-referenced SUFFICIENCY standard. MAY exceed labour supply, and that gap is precisely why collectives form.",EOH generation — personal domain,"390–926 h/yr from the capital-inventory + time-use identity at MODERN capital — which measures F_c, not F_a, the two reconciled by 38–74% abatement. Independently, 'all needs met' requires ~30% abatement at ε=0.99, putting F_a mid-band.","HIGH. It is the autarky-referenced standard, so it MAY exceed labour supply — that gap is why collectives form, not an error. Erring high overstates what a decent life costs alone, which overstates the case for collective delivery rather than understating a survival risk.","cross-cultural time allocation at a stated adequacy standard, plus the capital-inventory + time-use identity route. Cross-checks already in hand: the identity route gives F_c(modern) = 390–926, implying 38–74% abatement, and ""all needs met"" requires ~30% at ε=0.99 — 1500 sits mid-band against both.",,,,,,
PERSONAL_EOH_COMPONENTS,<dict: 4 keys>,share = fraction of the personal obligation; abatability = fraction removable,placeholder,,"the shares are the original desk estimate's own four terms (208/156/208/936 over 1508), so they are internally consistent with PERSONAL_EOH_SUFFICIENCY rather than independent of it. The abatability ceilings are the per-component most that infrastructure can ever remove, and their ORDERING encodes the block's structural prediction: abatability and sufficiency are ANTI-CORRELATED, because what infrastructure removes is survival-shaped work and what it cannot remove is care (the Baumol case). That prediction is TESTED in TestAntiCorrelationPrediction, not asserted here — changing these weights falsifies it.",EOH generation — personal domain,,,"per-component pointers are on each line below. a_max = Σ share × abatability = 0.4483 is DERIVED from this table, so it is not a free parameter; the table is where the judgement lives.",,,,,,
ABATEMENT_HALF_CAPITAL_TEH,1000.0,TEH of capital per capita,placeholder,,"K_half in a(K) = a_max · K/(K + K_half). It sets the PACE of abatement along the arc, not its ceiling.",EOH generation — personal domain,,,"the identity route run at two or more capital levels — B(K) measured at matched (inventory, time-use) pairs pins a_max and K_half together.",,,,,,"THE LEAST-GROUNDED CONSTANT IN BLOCK II, and the only new free parameter the block introduced. Report the sensitivity alongside any abatement figure until it is measured."
PERSONAL_EOH_BASE,1000.0,hours/year per working-age-equivalent,bounded,,"the ABATEMENT-COLLAPSED operating value — one number standing in for F_a × (1 − a(K)) at an unstated point on the arc. 1000 ≈ 1500 × (1 − 1/3), and a ≈ 33% sits mid-range between the 10% ""all needs met"" requires at ε = 0.40 and the 38–74% the identity route implies at modern capital. Retired when abatement becomes the default generation path.",EOH generation — personal domain,"390–1006 h/yr per working-age-equivalent, from two instruments sharing no assumption: the supply ceiling (L−R)/w = 396–1006 across subsistence parameters, and the accounting identity B = (M+H−R)/w = 390–926, whose M comes from a capital inventory and is B-FREE.","HIGH. Set at the TOP of the band on an asymmetric loss function: too low hides a real shortfall (the model reports feasible, capital is under-built, and the deficit is paid in unserved biological obligation), while too high only over-builds capital. Erring high is the mortality-minimising error.","the capital-inventory + time-use identity, NOT time-use data alone — see the circularity section in docs/parameter_provenance.md. Partial progress: core/eoh_generation.personal_statutory_floor() now builds a currency-free floor from physical quantities, but only one of seven basket components is priced (nutrition production, 330.9 h/person·yr), so coverage is 6.9% and the floor cannot yet falsify this value.",,,,,,"THE SINGLE MOST LEVERAGED CONSTANT IN THE MODEL. Personal EOH is 98.9% of total EOH at ε=0, 84.8% at ε=0.40 and 46.1% at ε=0.99 (re-measured 2026-08-10), so this effectively sets the denominator of ε across the low arc, and still sets half of it at the top. Repriced 1500 → 1000 on 2026-08-06 (author decision) to the HIGH end of the evidence band, on an asymmetric-loss argument: too low hides a real shortfall (model reports feasible, capital under-built, deficit paid in unserved biological obligation), too high only over-builds capital. Erring high is the mortality-minimising error. Per working-age-EQUIVALENT: × w = 1.3016 gives the per-capita claim of 1,301.6 h/person·yr. (w was 1.475 until the AGE_GROUPS elderly revalue of 2026-08-10. The band above was derived at the OLD w and has not been re-derived; a lower w raises the supply-ceiling arm B ≤ (L−R)/w, so the band is now conservative rather than wrong, and re-deriving it is owed.)"
BASKET_DIET_KCAL_PER_DAY,2100.0,kilocalories per person per day,convention,,"a declared dietary energy reference, not a derived optimum. 2,100 kcal/day is the humanitarian planning standard (Sphere / WHO-FAO-UNU emergency reference), adopted here because the basket needs a stated figure and this one is the most widely used.",EOH generation — personal domain,,,,,,,,,"THE ONLY BASKET QUANTITY THAT CURRENTLY MOVES A NUMBER. Nutrition production is the one priced component of seven, so this scales the floor 1:1 — 1,800 kcal/day gives 283.6 h/person·yr, 2,500 gives 394.0, against the shipped 330.9. The other three quantities multiply into nothing today because their components carry `hours_per_unit=None`, and are excluded rather than costed at zero."
BASKET_WATER_LITRES_PER_DAY,50.0,litres per person per day,convention,,"the WHO ""basic access"" service level. A declared adequacy threshold — the quantity is well-established; the labour to deliver it is not measured anywhere in this repo.",EOH generation — personal domain,,,,,,,,,"DORMANT BUT ARMED. The water component carries `hours_per_unit=None`, so this multiplies into nothing today and becomes load-bearing the moment anyone prices water collection. Nothing would announce that transition, which is the reason it is tagged here rather than left in the basket module."
